,ids,e_value,hit_start,hit_end,bitscore
0,O06179,4.25689e-150,0,375,431.561
1,Q6GB05,9.00581e-143,2,355,412.301
2,Q99VF6,1.09619e-142,2,355,411.916
3,A5IR97,1.09619e-142,2,355,411.916
4,A6U025,1.09619e-142,2,355,411.916
5,Q8NXG7,1.42463e-142,2,355,411.916
6,Q6GIG7,1.83137e-142,2,355,411.531
7,A8Z1H7,1.13426e-141,2,355,409.605
8,A6QFD2,1.13426e-141,2,355,409.605
9,Q5HHG4,1.13426e-141,2,355,409.605
10,Q2FZX9,1.13426e-141,2,355,409.605
11,Q2FIF3,1.13426e-141,2,355,409.605
12,Q4L4T4,3.10849e-141,2,357,408.449
13,Q49W60,3.27098e-141,2,355,408.449
14,O05413,7.91653e-130,0,347,379.174
15,P47177,1.90332e-123,22,404,364.922
16,Q9HWH9,3.57127e-122,0,351,359.914
17,Q12723,3.86481e-121,3,374,357.988
18,D0V3Y4,4.71674e-121,0,349,356.833
19,B2TEK6,3.89395e-115,5,366,342.58
20,Q9I4V0,1.06119e-34,4,319,133.417
21,Q01284,1.77849e-21,151,377,97.9786
22,Q7NTY1,7.60995e-07,127,237,54.0658
23,A7Z4Y0,1.40944e-06,328,579,54.0658
24,B0T7X2,8.32669e-06,245,363,50.9842
25,B6YWA9,1.07928e-05,8,221,49.8286
26,O34787,1.45276e-05,342,590,50.599
27,Q02Z38,1.96584e-05,134,250,49.8286
28,Q9CGF1,1.96584e-05,134,250,49.8286
29,B9KBQ2,2.86808e-05,158,412,49.4434
30,B1L993,3.45048e-05,158,414,49.4434
31,Q9WYM8,3.45048e-05,158,414,49.4434
32,A2RL29,3.54912e-05,134,250,49.0582
33,Q8ERJ2,3.65483e-05,41,239,48.673
34,Q3AWY4,3.86035e-05,32,111,48.2878
35,Q6A6A0,5.42553e-05,110,228,47.5174
36,Q0W1L8,6.15184e-05,93,203,47.1322
37,Q4VRV8,6.69837e-05,268,505,48.673
38,B0KG90,7.31658e-05,229,321,47.9026
39,Q5WD10,0.000119333,97,273,47.1322
40,B9E9B4,0.000133266,107,251,46.747
41,Q0ICA6,0.000147377,32,111,46.747
42,P49058,0.00020867,30,299,46.747
43,O05269,0.000238033,128,272,46.3618
44,Q1CT17,0.000259496,28,271,46.3618
45,Q185B2,0.00026396,109,205,45.5914
46,A7Z8C3,0.000292262,107,272,45.9766
47,B7GL45,0.000299709,32,111,45.5914
48,B2USX4,0.000302008,29,271,45.9766
49,A7Z3F8,0.000323153,40,207,45.5914
50,Q65L94,0.000325006,107,253,45.5914
51,Q9ZKZ2,0.000348351,122,271,45.5914
52,A9IN89,0.000370481,255,360,45.9766
53,Q8XNZ3,0.00041171,16,205,44.821
54,Q0TUP9,0.00041171,16,205,44.821
55,A4VUJ2,0.000474399,38,240,45.2062
56,A4W0T4,0.000474399,38,240,45.2062
57,A3DD04,0.000493599,135,232,44.821
58,Q7V8Q8,0.000496322,32,105,44.821
59,B2FIJ0,0.000496901,255,369,45.5914
60,Q8PE75,0.000516723,255,363,45.5914
61,Q4V0H2,0.000516723,255,363,45.5914
62,Q9KGN8,0.000533867,32,299,45.5914
63,B0RLM2,0.00053533,255,363,45.2062
64,A9BE47,0.000564508,32,111,44.821
65,Q6DAY3,0.000584826,255,333,45.2062
66,P46454,0.000590023,255,348,45.2062
67,A8FC15,0.000597271,107,253,44.821
68,B4SMK1,0.000603704,255,369,45.2062
69,O25525,0.000608862,129,273,45.2062
70,B1L873,0.000635232,62,180,44.4358
71,Q0SSM0,0.000680658,138,229,44.4358
72,A5UBE3,0.000685772,255,360,45.2062
73,Q4QJK8,0.000685772,255,360,45.2062
74,Q2SS69,0.000690003,84,210,44.4358
75,C0MAM1,0.000695921,38,240,44.821
76,Q9SA34,0.00069965,274,394,45.2062
77,Q0SWI9,0.000742016,109,205,44.0506
78,B5Z7L6,0.000743287,127,271,44.821
79,B0BTC7,0.000776169,255,333,44.821
80,B3GZA5,0.000776169,255,333,44.821
81,A3N3E5,0.000776169,255,333,44.821
82,Q329P9,0.000788998,255,384,44.821
83,Q0TQ02,0.000816129,138,229,44.4358
84,B1YH73,0.000864077,134,240,44.4358
85,B9DS39,0.000885125,38,240,44.4358
86,A5N8P8,0.000901784,134,207,44.0506
87,O50316,0.000903796,275,373,44.821
88,Q8XK02,0.000910002,138,229,44.0506
89,Q65LF6,0.000914783,128,272,44.4358
90,Q9WU19,0.000916021,70,314,44.4358
91,Q1J6M7,0.000933704,38,240,44.4358
92,Q1JLQ8,0.000933704,38,240,44.4358
93,Q1JBS5,0.000933704,38,240,44.4358
94,Q8P129,0.000933704,38,240,44.4358
95,Q5XC75,0.000933704,38,240,44.4358
96,B1LK44,0.000983887,255,368,44.4358
97,Q3YVX0,0.00102829,255,385,44.4358
98,Q83PP7,0.00102829,255,385,44.4358
99,Q0SYD1,0.00102829,255,385,44.4358
100,B6I3I4,0.00102829,255,385,44.4358
101,B7M492,0.00102829,255,385,44.4358
102,B5YWA7,0.00102829,255,385,44.4358
103,Q8XDF7,0.00102829,255,385,44.4358
104,B7L725,0.00102829,255,385,44.4358
105,A7ZTF9,0.00102829,255,385,44.4358
106,B7ULG1,0.00106525,255,384,44.4358
107,A5UFG9,0.00106709,255,348,44.4358
108,C0MF02,0.00108629,38,240,44.4358
109,Q31V17,0.00110354,255,384,44.4358
110,Q5H6Z4,0.00110883,255,360,44.4358
111,B2SUY3,0.00110883,255,360,44.4358
112,Q2P9K0,0.00110883,255,360,44.4358
113,Q8FCB1,0.00112319,255,384,44.4358
114,Q0TBK1,0.00112319,255,384,44.4358
115,A1AHE2,0.00112319,255,368,44.4358
116,B7NPB4,0.00112319,255,384,44.4358
117,Q64TN0,0.00113752,138,267,44.0506
118,Q5LCI2,0.00113752,138,267,44.0506
119,B2U5C2,0.00117388,255,384,44.4358
120,B7NER0,0.00117388,255,384,44.4358
121,P33232,0.00117388,255,384,44.4358
122,B1IZI5,0.00117388,255,384,44.4358
123,A8A670,0.00117388,255,384,44.4358
124,B1X8M0,0.00117388,255,384,44.4358
125,C4ZXJ7,0.00117388,255,384,44.4358
126,Q8A9C3,0.00120022,138,267,44.0506
127,A8AXD6,0.00120876,33,240,44.0506
128,Q5P1A9,0.00121026,100,314,44.0506
129,B0VND0,0.00121181,255,373,44.4358
130,Q3ALF6,0.00124031,32,111,43.6654
131,Q8PR33,0.00124376,255,363,44.0506
132,Q1R4Z0,0.00125976,255,368,44.0506
133,B7MFG9,0.00125976,255,368,44.0506
134,Q9HV37,0.00126223,255,363,44.0506
135,B7V1I3,0.00126223,255,363,44.0506
136,Q3BZH2,0.00127716,255,363,44.0506
137,Q1IF69,0.00135471,255,368,44.0506
138,O31618,0.00138273,109,209,43.6654
139,Q02FQ1,0.00139111,255,363,44.0506
140,Q186R1,0.00140801,11,240,43.6654
141,Q883P1,0.00142311,225,321,44.0506
142,Q9LJH5,0.00148388,216,342,44.0506
143,Q9HDX2,0.00154124,280,395,44.0506
144,C4L088,0.00155082,142,239,43.6654
145,Q3KFC7,0.00158268,225,321,43.6654
146,B1IC44,0.00158269,38,240,43.6654
147,Q6HAI0,0.00162137,128,272,43.6654
148,Q72WY4,0.00162137,128,272,43.6654
149,Q814I1,0.0016255,129,273,43.6654
150,A0RLN5,0.0016255,129,273,43.6654
151,Q97QG5,0.00165468,38,240,43.6654
152,Q8DPJ7,0.00166946,38,240,43.6654
153,C1C7M7,0.00166946,38,240,43.6654
154,Q04K71,0.00166946,38,240,43.6654
155,O49506,0.00177228,227,361,43.6654
156,P9WND5,0.00184005,271,374,43.6654
157,P9WND4,0.00184005,271,374,43.6654
158,Q6G4R2,0.00185186,255,379,43.6654
159,A3CNT0,0.00189399,32,181,43.2802
160,B5XLI1,0.00190295,38,240,43.6654
161,P0DB91,0.00190295,38,240,43.6654
162,Q1JGV8,0.00190295,38,240,43.6654
163,P0DB90,0.00190295,38,240,43.6654
164,Q831S1,0.00192727,34,271,43.2802
165,Q99ZQ1,0.00197188,38,240,43.2802
166,C1CEK5,0.0021038,38,240,43.2802
167,Q978V5,0.00210409,99,203,42.5098
168,A7IMB0,0.00211262,255,382,43.6654
169,O87392,0.00215521,239,406,43.6654
170,C1CKY8,0.00216068,38,240,43.2802
171,Q48JY0,0.00223769,225,321,43.2802
172,A8HTC9,0.00227774,257,368,43.2802
173,Q88L40,0.00234441,229,321,43.2802
174,Q6G0J2,0.00235052,255,360,43.2802
175,Q3K110,0.00235575,38,240,43.2802
176,Q8H3I4,0.00236437,234,309,43.2802
177,Q9UJM8,0.00238157,167,314,43.2802
178,Q7VPI9,0.0024057,255,333,43.2802
179,B0V6L1,0.00245662,255,369,43.2802
180,A3M0X0,0.00245662,255,369,43.2802
181,B2I061,0.00245662,255,369,43.2802
182,B7IBS4,0.00245662,255,369,43.2802
183,B7H2H0,0.00245662,255,369,43.2802
184,Q8DZL4,0.00246285,38,240,43.2802
185,Q8E578,0.00246285,38,240,43.2802
186,Q9X0C6,0.00247577,62,180,42.895
187,Q8PT98,0.00248211,68,185,42.5098
188,Q4KFI7,0.00251127,225,321,43.2802
189,B7N251,0.00255158,255,384,43.2802
190,P47996,0.00260853,289,387,43.2802
191,C1DDY1,0.00262427,225,321,43.2802
192,Q8KCW4,0.00263457,275,373,43.2802
193,P0DB89,0.00265546,33,485,43.2802
194,P0DB88,0.00265546,33,485,43.2802
195,B1J244,0.00269835,255,366,43.2802
196,A6VCM8,0.00274643,255,363,43.2802
197,B5E4Y3,0.00274689,38,240,42.895
198,Q88DT3,0.00289585,255,368,42.895
199,B0KIT4,0.00289585,255,368,42.895
200,A5W9B2,0.00289585,255,368,42.895
201,O52792,0.00290008,163,306,42.895
202,A6L5H1,0.00298596,163,267,42.895
203,B7VGZ7,0.0030532,35,250,42.5098
204,Q04GD9,0.00310005,127,296,42.895
205,Q4ZUM3,0.00313457,225,321,42.895
206,Q97DK4,0.00318718,123,272,42.895
207,Q5KVD0,0.00326156,32,110,42.5098
208,B1HNS5,0.00333202,129,239,42.895
209,Q04CB0,0.00338607,46,302,42.895
210,Q1GBV3,0.00338607,46,302,42.895
211,Q49721,0.00345137,124,218,42.895
212,Q48TL6,0.00351453,77,240,42.5098
213,Q630E8,0.00357755,128,272,42.5098
214,Q81JJ9,0.00357755,128,272,42.5098
215,C1CR55,0.00368307,38,240,42.5098
