,target name,target accession,tlen,query name,accession,qlen,E-value,score,bias,#,of,c-Evalue,i-Evalue,score,bias,from,to,from,to,from,to,acc,description of target
0,sp|Q6GIG7|NMO_STAAR,-,355,MSA_M_1,-,357,1.1e-175,588.7,1.9,1,1,4.5e-178,1.2e-175,588.7,1.9,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1
1,sp|Q6GB05|NMO_STAAS,-,355,MSA_M_1,-,357,1.1e-175,588.7,1.8,1,1,4.5e-178,1.2e-175,588.7,1.8,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1
2,sp|Q8NXG7|NMO_STAAW,-,355,MSA_M_1,-,357,1.3e-175,588.4,1.9,1,1,5.5e-178,1.5e-175,588.4,1.9,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1
3,sp|A5IR97|NMO_STAA9,-,355,MSA_M_1,-,357,2.7e-175,587.3,1.7,1,1,1.2e-177,3.1e-175,587.3,1.7,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1
4,sp|A6U025|NMO_STAA2,-,355,MSA_M_1,-,357,2.7e-175,587.3,1.7,1,1,1.2e-177,3.1e-175,587.3,1.7,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1
5,sp|Q99VF6|NMO_STAAN,-,355,MSA_M_1,-,357,2.7e-175,587.3,1.7,1,1,1.2e-177,3.1e-175,587.3,1.7,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1
6,sp|A6QFD2|NMO_STAAE,-,355,MSA_M_1,-,357,2.6e-174,584.1,2.1,1,1,1.1e-176,2.9e-174,584.1,2.1,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1
7,sp|A8Z1H7|NMO_STAAT,-,355,MSA_M_1,-,357,2.6e-174,584.1,2.1,1,1,1.1e-176,2.9e-174,584.1,2.1,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1
8,sp|Q2FIF3|NMO_STAA3,-,355,MSA_M_1,-,357,2.6e-174,584.1,2.1,1,1,1.1e-176,2.9e-174,584.1,2.1,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1
9,sp|Q2FZX9|NMO_STAA8,-,355,MSA_M_1,-,357,2.6e-174,584.1,2.1,1,1,1.1e-176,2.9e-174,584.1,2.1,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1
10,sp|Q5HHG4|NMO_STAAC,-,355,MSA_M_1,-,357,2.6e-174,584.1,2.1,1,1,1.1e-176,2.9e-174,584.1,2.1,1,354,1,354,1,354,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain COL) OX=93062 GN=SACOL0922 PE=3 SV=1
11,sp|Q4L4T4|NMO_STAHJ,-,357,MSA_M_1,-,357,6.1e-163,546.7,4.9,1,1,2.6e-165,6.9e-163,546.7,4.9,1,355,1,355,1,355,0.99,Probable nitronate monooxygenase OS=Staphylococcus haemolyticus (strain JCSC1435) OX=279808 GN=SH2032 PE=3 SV=1
12,sp|Q49W60|NMO_STAS1,-,355,MSA_M_1,-,357,1.2e-160,539.2,1.4,1,1,5.1e-163,1.3e-160,539.2,1.4,1,355,1,355,1,355,0.99,Probable nitronate monooxygenase OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305 / DSM 20229 / NCIMB 8711 / NCTC 7292 / S-41) OX=342451 GN=SSP1854 PE=3 SV=1
13,sp|D0V3Y4|NMO_PSESP,-,349,MSA_M_1,-,357,2.6e-146,492.0,0.1,1,1,1.1e-148,2.9e-146,492.0,0.1,1,349,1,349,1,349,0.99,Nitronate monooxygenase OS=Pseudomonas sp. OX=306 GN=pnoA PE=1 SV=1
14,sp|B2TEK6|NMO_PARPJ,-,366,MSA_M_1,-,357,5.9e-143,480.9,0.0,1,1,2.6e-145,6.8e-143,480.9,0.0,4,360,4,360,4,360,0.99,Nitronate monooxygenase OS=Paraburkholderia phytofirmans (strain DSM 17436 / LMG 22146 / PsJN) OX=398527 GN=Bphyt_4144 PE=1 SV=1
15,sp|O05413|NMO_BACSU,-,347,MSA_M_1,-,357,4.8e-141,474.7,0.2,1,1,2e-143,5.3e-141,474.7,0.2,1,347,1,347,1,347,0.99,Probable nitronate monooxygenase OS=Bacillus subtilis (strain 168) OX=224308 GN=yrpB PE=3 SV=1
16,sp|Q9HWH9|NMO_PSEAE,-,351,MSA_M_1,-,357,2.5e-140,472.3,0.0,1,1,1.1e-142,2.8e-140,472.3,0.0,1,351,1,351,1,351,0.99,Nitronate monooxygenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=nmoA PE=1 SV=1
17,sp|Q12723|2NPD_CYBMR,-,374,MSA_M_1,-,357,1e-123,417.6,0.0,1,1,4.5e-126,1.2e-123,417.6,0.0,2,374,2,374,2,374,0.98,Nitronate monooxygenase OS=Cyberlindnera mrakii OX=1004253 PE=1 SV=1
18,sp|P47177|2NDP_YEAST,-,404,MSA_M_1,-,357,4.7e-122,412.2,0.0,1,1,2e-124,5.3e-122,412.2,0.0,21,404,21,404,21,404,0.98,Putative nitronate monooxygenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YJR149W PE=1 SV=2
19,sp|O06179|Y1533_MYCTU,-,375,MSA_M_1,-,357,2.3e-105,357.3,0.0,1,1,9.9e-108,2.6e-105,357.3,0.0,1,368,1,368,1,368,0.98,Putative monooxygenase Rv1533 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) OX=83332 GN=Rv1533 PE=1 SV=1
20,sp|Q9I4V0|NQRED_PSEAE,-,328,MSA_M_1,-,357,1.4e-45,56.0,0.0,1,2,4e-16,1e-13,56.0,0.0,3,90,3,90,3,90,0.89,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
21,sp|Q9I4V0|NQRED_PSEAE,-,328,MSA_M_1,-,357,1.4e-45,103.6,0.2,2,2,1.3e-30,3.4e-28,103.6,0.2,78,319,78,319,78,319,0.88,NADH:quinone reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA1024 PE=1 SV=1
22,sp|Q01284|2NPD_NEUCR,-,378,MSA_M_1,-,357,1.5e-31,13.5,0.0,1,2,0.0032,0.84,13.5,0.0,18,86,18,86,18,86,0.88,Nitronate monooxygenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ncd-2 PE=1 SV=1
23,sp|Q01284|2NPD_NEUCR,-,378,MSA_M_1,-,357,1.5e-31,101.3,2.1,2,2,6.4e-30,1.7e-27,101.3,2.1,149,372,149,372,149,372,0.86,Nitronate monooxygenase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ncd-2 PE=1 SV=1
24,sp|Q8KCW4|IMDH_CHLTE,-,494,MSA_M_1,-,357,7.5e-10,20.5,0.1,1,2,2.4e-05,0.0063,20.5,0.1,28,102,28,102,28,102,0.83,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
25,sp|Q8KCW4|IMDH_CHLTE,-,494,MSA_M_1,-,357,7.5e-10,25.8,0.2,2,2,5.9e-07,0.00016,25.8,0.2,316,381,316,381,316,381,0.86,Inosine-5'-monophosphate dehydrogenase OS=Chlorobaculum tepidum (strain ATCC 49652 / DSM 12025 / NBRC 103806 / TLS) OX=194439 GN=guaB PE=3 SV=1
26,sp|Q4VRV8|IMDH_TOXGO,-,551,MSA_M_1,-,357,3.1e-09,17.7,0.0,1,2,0.00018,0.046,17.7,0.0,37,125,37,125,37,125,0.79,Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1
27,sp|Q4VRV8|IMDH_TOXGO,-,551,MSA_M_1,-,357,3.1e-09,21.1,1.0,2,2,1.5e-05,0.004,21.1,1.0,265,395,265,395,265,395,0.84,Inosine-5'-monophosphate dehydrogenase OS=Toxoplasma gondii OX=5811 PE=1 SV=1
28,sp|Q9ZL14|IMDH_HELPJ,-,481,MSA_M_1,-,357,1.2e-08,20.3,0.1,1,2,2.8e-05,0.0072,20.3,0.1,27,116,27,116,27,116,0.89,Inosine-5'-monophosphate dehydrogenase OS=Helicobacter pylori (strain J99 / ATCC 700824) OX=85963 GN=guaB PE=3 SV=1
