,ids,e_value,hit_start,hit_end,bitscore
0,Q12723,1.9884e-169,1,374,480.463
1,P47177,6.62898e-147,20,399,424.609
2,Q4L4T4,4.68577e-143,1,349,413.053
3,Q6GB05,5.15012e-143,1,348,413.053
4,Q99VF6,5.87123e-143,1,348,412.667
5,A5IR97,5.87123e-143,1,348,412.667
6,A6U025,5.87123e-143,1,348,412.667
7,Q6GIG7,1.13053e-142,1,348,411.897
8,Q8NXG7,1.80803e-142,1,348,411.512
9,A8Z1H7,5.62865e-142,1,348,410.356
10,A6QFD2,5.62865e-142,1,348,410.356
11,Q5HHG4,5.62865e-142,1,348,410.356
12,Q2FZX9,5.62865e-142,1,348,410.356
13,Q2FIF3,5.62865e-142,1,348,410.356
14,Q49W60,6.08359e-141,1,348,407.66
15,O05413,1.0051e-129,1,344,378.77
16,D0V3Y4,4.95436e-117,1,335,346.798
17,Q9HWH9,5.35436e-117,1,349,346.798
18,B2TEK6,1.55662e-105,3,354,317.908
19,O06179,3.67221e-96,1,362,294.411
20,Q9I4V0,8.87777e-30,5,312,120.301
21,Q01284,1.79505e-21,10,365,97.9594
22,Q9KGN8,1.64244e-08,29,409,59.8247
23,Q9ZL14,2.34967e-07,26,365,55.9727
24,Q6A6A0,7.12188e-07,111,228,53.2763
25,Q8T6T2,7.12965e-07,30,284,54.4319
26,P56088,8.20077e-07,26,365,54.4319
27,O87392,2.97854e-06,240,328,52.5059
28,O67820,4.69558e-06,32,452,52.1207
29,B9KBQ2,5.0476e-06,159,412,52.1207
30,P49058,5.92076e-06,30,347,51.3503
31,B1L993,6.18336e-06,158,414,51.7355
32,Q9WYM8,6.18336e-06,158,414,51.7355
33,B0T7X2,2.15505e-05,246,363,49.8095
34,A7Z4Y0,2.75128e-05,305,571,49.8095
35,B0KG90,3.27589e-05,159,321,49.0391
36,Q5WD10,3.5049e-05,72,254,49.0391
37,P0C0H6,4.3876e-05,33,375,49.0391
38,P68839,4.3876e-05,33,375,49.0391
39,Q5X9A3,4.3876e-05,33,375,49.0391
40,P0C0H7,4.3876e-05,33,375,49.0391
41,B1YIR7,4.44884e-05,1,267,48.6539
42,Q02Z38,5.75072e-05,73,256,48.2687
43,Q24JJ8,5.97404e-05,232,342,48.2687
44,Q2SS69,8.62756e-05,65,210,47.1131
45,Q9CGF1,9.23522e-05,73,256,47.4983
46,A2RL29,0.000107498,73,256,47.4983
47,O05269,0.000125117,70,253,47.1131
48,Q58746,0.000145039,301,415,47.4983
49,P0DB89,0.000158566,33,375,47.1131
50,P0DB88,0.000158566,33,375,47.1131
51,Q7NTY1,0.000168788,128,257,46.7279
52,Q88L40,0.00017474,230,321,46.7279
53,Q65LF6,0.000183707,70,253,46.7279
54,B1HNS5,0.00019789,28,239,46.7279
55,Q9LJH5,0.000209121,161,342,46.7279
56,Q040Z7,0.000231894,70,213,45.5723
57,O25525,0.000240826,78,275,46.3427
58,P21879,0.000260425,29,118,46.7279
59,B1YH73,0.000271221,71,254,45.9575
60,Q74HT0,0.000299888,70,213,45.1871
61,C1DDY1,0.000337546,226,321,45.9575
62,A8FD19,0.000363749,1,265,45.5723
63,A7Z8C3,0.000385319,70,239,45.5723
64,B1J5B5,0.000411796,230,321,45.5723
65,O58045,0.00044818,33,366,45.9575
66,Q1ICL4,0.00046526,230,321,45.5723
67,O49506,0.000517595,228,368,45.1871
