,key,accession,name,source_database,length,source_organism_taxID,source_organism_scientificName,source_organism_fullName
0,0,A0A009ES02,NMO domain-containing protein,unreviewed,326,1310605,Acinetobacter baumannii 348935,Acinetobacter baumannii 348935
1,1,A0A009FUL3,NMO domain-containing protein,unreviewed,347,1310605,Acinetobacter baumannii 348935,Acinetobacter baumannii 348935
2,2,A0A009GBC7,NMO domain-containing protein,unreviewed,323,1310618,Acinetobacter baumannii 118362,Acinetobacter baumannii 118362
3,3,A0A009GFH2,NMO domain-containing protein,unreviewed,348,1310618,Acinetobacter baumannii 118362,Acinetobacter baumannii 118362
4,4,A0A009GHL6,NMO domain-containing protein,unreviewed,348,1310609,Acinetobacter sp. 1289694,Acinetobacter sp. 1289694
5,5,A0A009GP03,NMO domain-containing protein,unreviewed,323,1310609,Acinetobacter sp. 1289694,Acinetobacter sp. 1289694
6,6,A0A009HEX8,NMO domain-containing protein,unreviewed,348,1310608,Acinetobacter sp. 1295259,Acinetobacter sp. 1295259
7,7,A0A009HPY4,NMO domain-containing protein,unreviewed,348,1310613,Acinetobacter baumannii (strain 1295743),Acinetobacter baumannii (strain 1295743)
8,8,A0A009HZI1,NMO domain-containing protein,unreviewed,323,1310608,Acinetobacter sp. 1295259,Acinetobacter sp. 1295259
9,9,A0A009I6T4,NMO domain-containing protein,unreviewed,323,1310613,Acinetobacter baumannii (strain 1295743),Acinetobacter baumannii (strain 1295743)
10,10,A0A009K033,NMO domain-containing protein,unreviewed,348,1310619,Acinetobacter baumannii 1419130,Acinetobacter baumannii 1419130
11,11,A0A009KJD9,NMO domain-containing protein,unreviewed,347,1310623,Acinetobacter baumannii 146457,Acinetobacter baumannii 146457
12,12,A0A009KPX7,NMO domain-containing protein,unreviewed,323,1310619,Acinetobacter baumannii 1419130,Acinetobacter baumannii 1419130
13,13,A0A009L4J2,NMO domain-containing protein,unreviewed,325,1310623,Acinetobacter baumannii 146457,Acinetobacter baumannii 146457
14,14,A0A009NCZ2,NMO domain-containing protein,unreviewed,323,1310652,Acinetobacter sp. 1475718,Acinetobacter sp. 1475718
15,15,A0A009NGU6,NMO domain-containing protein,unreviewed,348,1310652,Acinetobacter sp. 1475718,Acinetobacter sp. 1475718
16,16,A0A009PL93,NMO domain-containing protein,unreviewed,348,1310607,Acinetobacter baumannii 625974,Acinetobacter baumannii 625974
17,17,A0A009QD54,NMO domain-containing protein,unreviewed,323,1310607,Acinetobacter baumannii 625974,Acinetobacter baumannii 625974
18,18,A0A009QQK0,NMO domain-containing protein,unreviewed,348,1310637,Acinetobacter sp. 809848,Acinetobacter sp. 809848
19,19,A0A009R7W4,NMO domain-containing protein,unreviewed,348,1310653,Acinetobacter baumannii 951631,Acinetobacter baumannii 951631
20,20,A0A009RCU8,NMO domain-containing protein,unreviewed,323,1310637,Acinetobacter sp. 809848,Acinetobacter sp. 809848
21,21,A0A009RZI4,NMO domain-containing protein,unreviewed,348,1310630,Acinetobacter baumannii 99063,Acinetobacter baumannii 99063
22,22,A0A009SJH3,NMO domain-containing protein,unreviewed,323,1310630,Acinetobacter baumannii 99063,Acinetobacter baumannii 99063
23,23,A0A009Y7H3,NMO domain-containing protein,unreviewed,323,1310601,Acinetobacter sp. 479375,Acinetobacter sp. 479375
24,24,A0A009ZAD7,NMO domain-containing protein,unreviewed,346,1310601,Acinetobacter sp. 479375,Acinetobacter sp. 479375
25,25,A0A010IMB3,NMO domain-containing protein,unreviewed,348,1310681,Acinetobacter sp. 1542444,Acinetobacter sp. 1542444
26,26,A0A010JVP8,NMO domain-containing protein,unreviewed,323,1310681,Acinetobacter sp. 1542444,Acinetobacter sp. 1542444
27,27,A0A010KE71,NMO domain-containing protein,unreviewed,323,1310683,Acinetobacter sp. 1566109,Acinetobacter sp. 1566109
28,28,A0A010KYM1,NMO domain-containing protein,unreviewed,348,1310683,Acinetobacter sp. 1566109,Acinetobacter sp. 1566109
29,29,A0A010QYZ2,NMO domain-containing protein,unreviewed,329,1298865,Alteromonas sp. ALT199,Alteromonas sp. ALT199
30,30,A0A010R1S7,NMO domain-containing protein,unreviewed,373,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7
31,31,A0A010RR04,NMO domain-containing protein,unreviewed,330,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7
32,32,A0A010RXY9,NMO domain-containing protein,unreviewed,354,1042209,Pseudomonas fluorescens HK44,Pseudomonas fluorescens HK44
33,33,A0A010RY36,NMO domain-containing protein,unreviewed,363,1445577,Colletotrichum fioriniae PJ7,Colletotrichum fioriniae PJ7
34,34,A0A010T3R4,NMO domain-containing protein,unreviewed,322,1042209,Pseudomonas fluorescens HK44,Pseudomonas fluorescens HK44
35,35,A0A010T7K1,2-nitropropane dioxygenase,unreviewed,374,1042209,Pseudomonas fluorescens HK44,Pseudomonas fluorescens HK44
36,36,A0A010VUL6,NMO domain-containing protein,unreviewed,323,1310834,Acinetobacter sp. 263903-2,Acinetobacter sp. 263903-2
37,37,A0A010VVV0,NMO domain-containing protein,unreviewed,348,1310834,Acinetobacter sp. 263903-2,Acinetobacter sp. 263903-2
38,38,A0A010YTF1,NMO domain-containing protein,unreviewed,373,866499,Cloacibacillus evryensis DSM 19522,Cloacibacillus evryensis DSM 19522
39,39,A0A010YUY3,NMO domain-containing protein,unreviewed,315,866499,Cloacibacillus evryensis DSM 19522,Cloacibacillus evryensis DSM 19522
40,40,A0A010Z4Y9,NMO domain-containing protein,unreviewed,374,927661,Cryptosporangium arvum DSM 44712,Cryptosporangium arvum DSM 44712
41,41,A0A010ZSB7,NMO domain-containing protein,unreviewed,331,927661,Cryptosporangium arvum DSM 44712,Cryptosporangium arvum DSM 44712
42,42,A0A011ALT3,2-nitropropane dioxygenase-like enzyme,unreviewed,307,927661,Cryptosporangium arvum DSM 44712,Cryptosporangium arvum DSM 44712
43,43,A0A011J2W3,NMO domain-containing protein,unreviewed,323,1310711,Acinetobacter sp. 723929,Acinetobacter sp. 723929
44,44,A0A011JBT1,NMO domain-containing protein,unreviewed,348,1310711,Acinetobacter sp. 723929,Acinetobacter sp. 723929
45,45,A0A011NEI8,NMO domain-containing protein,unreviewed,348,1454003,Candidatus Accumulibacter sp. BA-92,Candidatus Accumulibacter sp. BA-92
46,46,A0A011NIG1,NMO domain-containing protein,unreviewed,349,1454001,Candidatus Accumulibacter sp. SK-12,Candidatus Accumulibacter sp. SK-12
47,47,A0A011NU45,NMO domain-containing protein,unreviewed,341,1454003,Candidatus Accumulibacter sp. BA-92,Candidatus Accumulibacter sp. BA-92
48,48,A0A011PAK2,NMO domain-containing protein,unreviewed,414,1454004,Candidatus Accumulibacter sp. BA-93,Candidatus Accumulibacter sp. BA-93
49,49,A0A011PQS5,NMO domain-containing protein,unreviewed,415,1454001,Candidatus Accumulibacter sp. SK-12,Candidatus Accumulibacter sp. SK-12
50,50,A0A011QJV3,NMO domain-containing protein,unreviewed,414,1454003,Candidatus Accumulibacter sp. BA-92,Candidatus Accumulibacter sp. BA-92
51,51,A0A011SJC9,Enoyl-[acyl-carrier-protein] reductase,unreviewed,321,1229520,Alkalibacterium sp. AK22,Alkalibacterium sp. AK22
52,52,A0A011UF97,NMO domain-containing protein,unreviewed,322,529,Ochrobactrum anthropi,Ochrobactrum anthropi
