,target name,target accession,tlen,query name,accession,qlen,E-value,score,bias,#,of,c-Evalue,i-Evalue,score_2,bias_2,from,to,from_2,to_2,from_3,to_3,acc,description of target,ids
0,sp|Q6GIG7|NMO_STAAR,-,355,MSA_C_1_denoised1_swissprot,-,340,5e-170,570.0,1.6,1,1,2.2e-172,5.7e-170,569.8,1.6,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MRSA252) OX=282458 GN=SAR0883 PE=3 SV=1,Q6GIG7
1,sp|Q6GB05|NMO_STAAS,-,355,MSA_C_1_denoised1_swissprot,-,340,5.2e-170,570.0,1.5,1,1,2.2e-172,5.9e-170,569.8,1.5,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MSSA476) OX=282459 GN=SAS0791 PE=3 SV=1,Q6GB05
2,sp|Q8NXG7|NMO_STAAW,-,355,MSA_C_1_denoised1_swissprot,-,340,8.1e-170,569.3,1.6,1,1,3.5e-172,9.2e-170,569.2,1.6,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain MW2) OX=196620 GN=MW0803 PE=3 SV=1,Q8NXG7
3,sp|A5IR97|NMO_STAA9,-,355,MSA_C_1_denoised1_swissprot,-,340,1.4e-169,568.5,1.5,1,1,6.2e-172,1.6e-169,568.4,1.5,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH9) OX=359786 GN=SaurJH9_0919 PE=3 SV=1,A5IR97
4,sp|A6U025|NMO_STAA2,-,355,MSA_C_1_denoised1_swissprot,-,340,1.4e-169,568.5,1.5,1,1,6.2e-172,1.6e-169,568.4,1.5,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain JH1) OX=359787 GN=SaurJH1_0937 PE=3 SV=1,A6U025
5,sp|Q99VF6|NMO_STAAN,-,355,MSA_C_1_denoised1_swissprot,-,340,1.4e-169,568.5,1.5,1,1,6.2e-172,1.6e-169,568.4,1.5,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain N315) OX=158879 GN=SA0781 PE=3 SV=1,Q99VF6
6,sp|A6QFD2|NMO_STAAE,-,355,MSA_C_1_denoised1_swissprot,-,340,1.2e-168,565.5,1.8,1,1,5e-171,1.3e-168,565.4,1.8,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain Newman) OX=426430 GN=NWMN_0792 PE=3 SV=1,A6QFD2
7,sp|A8Z1H7|NMO_STAAT,-,355,MSA_C_1_denoised1_swissprot,-,340,1.2e-168,565.5,1.8,1,1,5e-171,1.3e-168,565.4,1.8,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300 / TCH1516) OX=451516 GN=USA300HOU_0879 PE=3 SV=1,A8Z1H7
8,sp|Q2FIF3|NMO_STAA3,-,355,MSA_C_1_denoised1_swissprot,-,340,1.2e-168,565.5,1.8,1,1,5e-171,1.3e-168,565.4,1.8,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain USA300) OX=367830 GN=SAUSA300_0825 PE=3 SV=1,Q2FIF3
9,sp|Q2FZX9|NMO_STAA8,-,355,MSA_C_1_denoised1_swissprot,-,340,1.2e-168,565.5,1.8,1,1,5e-171,1.3e-168,565.4,1.8,1,340,9,348,9,348,1.00,Probable nitronate monooxygenase OS=Staphylococcus aureus (strain NCTC 8325 / PS 47) OX=93061 GN=SAOUHSC_00855 PE=3 SV=1,Q2FZX9
