,key,accession,entry_protein_locations_fragments_start,entry_protein_locations_fragments_end,entry_protein_locations_fragments_dc-status,entry_protein_locations_model,entry_protein_locations_score,protein_length,source_database,entry_type,entry_integrated
0,0,PF03060,5,311,CONTINUOUS,PF03060,8.2e-57,326,pfam,domain,ipr004136
1,1,PF03060,3,342,CONTINUOUS,PF03060,7.1e-72,347,pfam,domain,ipr004136
2,2,PF03060,3,310,CONTINUOUS,PF03060,7.3e-62,323,pfam,domain,ipr004136
3,3,PF03060,5,342,CONTINUOUS,PF03060,6.7e-68,348,pfam,domain,ipr004136
4,4,PF03060,5,342,CONTINUOUS,PF03060,8.7e-68,348,pfam,domain,ipr004136
5,5,PF03060,3,310,CONTINUOUS,PF03060,4.1e-63,323,pfam,domain,ipr004136
6,6,PF03060,5,342,CONTINUOUS,PF03060,7.1e-68,348,pfam,domain,ipr004136
7,7,PF03060,5,342,CONTINUOUS,PF03060,1.8e-67,348,pfam,domain,ipr004136
8,8,PF03060,3,310,CONTINUOUS,PF03060,2.8e-63,323,pfam,domain,ipr004136
9,9,PF03060,3,310,CONTINUOUS,PF03060,3.8e-61,323,pfam,domain,ipr004136
10,10,PF03060,5,342,CONTINUOUS,PF03060,3e-67,348,pfam,domain,ipr004136
11,11,PF03060,4,342,CONTINUOUS,PF03060,1.4e-71,347,pfam,domain,ipr004136
12,12,PF03060,3,310,CONTINUOUS,PF03060,1.5e-62,323,pfam,domain,ipr004136
13,13,PF03060,12,311,CONTINUOUS,PF03060,2.9e-22,325,pfam,domain,ipr004136
14,14,PF03060,3,310,CONTINUOUS,PF03060,4.1e-63,323,pfam,domain,ipr004136
15,15,PF03060,5,342,CONTINUOUS,PF03060,8.7e-68,348,pfam,domain,ipr004136
16,16,PF03060,5,342,CONTINUOUS,PF03060,5.8e-66,348,pfam,domain,ipr004136
17,17,PF03060,3,310,CONTINUOUS,PF03060,5.9e-63,323,pfam,domain,ipr004136
18,18,PF03060,5,342,CONTINUOUS,PF03060,1.3e-67,348,pfam,domain,ipr004136
19,19,PF03060,5,342,CONTINUOUS,PF03060,8.5e-68,348,pfam,domain,ipr004136
20,20,PF03060,3,310,CONTINUOUS,PF03060,8.6e-63,323,pfam,domain,ipr004136
21,21,PF03060,5,342,CONTINUOUS,PF03060,1.2e-68,348,pfam,domain,ipr004136
22,22,PF03060,3,310,CONTINUOUS,PF03060,5.9e-63,323,pfam,domain,ipr004136
